"","nmajor","major1","major2","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","Cum Laude","Magna Cum Laude","Summa Cum Laude","University Honors","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","Term.Code","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state","has_internship","has_multiple_internships"
"1478",1,"Accountancy","none",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Female","3.00 - 3.49",201920,"2019","0","None","None","None","None","Korea University",0,"continuing education","None","None",0,"None",0,0
"1479",1,"Accountancy","none",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Supply Chain Management","No Minor","White","Female","3.00 - 3.49",202120,"2021","0","Columbus","RSM","None","None","None",3,"accepted fulltime job","Yes","Yes",56000,"OH",1,0
"1480",1,"Finance","none",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Hispanic/Latino","Male","2.50 - 2.99",201920,"2019","0","Oakland","Blue cat products","Advertising / Public Relations
 General Management","None","None",2,"accepted parttime job","No","Yes",70000,"CA",0,0
"1481",1,"Finance","none",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"No Minor","No Minor","White","Female","3.50 - 4.00",202020,"2020","Cum Laude","Los Angeles","Capital Group","Finance","None","None",1,"accepted fulltime job","Yes","No",70000,"CA",1,0
"1482",1,"Accountancy","none",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202020,"2020","0","St. Louis","RubinBrown LLP","Accounting","MAcc","None",2,"accepted fulltime job","Yes","Yes",52000,"MO",1,1
"1483",1,"Management and Leadership","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Entrepreneurship","No Minor","White","Male","3.00 - 3.49",201920,"2019","0","Chicago","MHUB Chicago","Finance","None","None",1,"accepted fulltime job","Yes","Yes",50000,"IL",1,1
"1484",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Business Analytics","No Minor","White","Male","2.50 - 2.99",201920,"2019","0","Cleveland","The NRP Group LLC","Accounting
 Analytics
 Finance","None","None",1,"accepted fulltime job","Yes","Yes",60000,"Ohio",1,1
"1485",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Interactive Media Studies","No Minor","White","Male","3.00 - 3.49",202120,"2021","0","Tampa Bay","Beam Suntory","Marketing / Sales","None","None",1,"accepted fulltime job","Yes","No",65000,"FL",1,1
"1486",1,"Marketing","none",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,"No Minor","No Minor","Black or African American","Male","2.50 - 2.99",202110,"2021","0","None","None","None","None","None",0,"None","None","None",0,"None",0,0
"1487",1,"Marketing","none",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,"No Minor","No Minor","Black or African American","Male","2.50 - 2.99",202110,"2021","0","None","None","None","None","None",0,"None","None","None",0,"None",1,0
